prompt,fluent(something you could say in the languege),correct gramatically(correct way to ask the question),correct translation,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF,,,,,Jak wygląda wzór chemiczny wody? <pad> Wzór chemiczny wody to H2O.</s>
Jaki jest wzór chemiczny wody?,1,1,1,Wzór chemiczny wody to H₂O.,Jaki jest wzór chemiczny wody?,Wzór chemiczny wody to H2O.,1-1-1,Jak wygląda wzór chemiczny wody?,Wzór chemiczny wody to H2O.,1-1-1,Jaki jest wzór chemiczny wodyy?,Wzór chemiczny wodyy to H2O.,0-1-1,Jak przedstawia się chemiczny skład wody?,"W wodzie znajdują się dwie zasadowe cząsteczki, woda i dwutlenek węgla.",0-0-1,What jest chemical wzór wody?,Wzór chemiczny wody to H2O.,1-1-1,,,,,Jaki jest wzór chemiczny wodyy? <pad> Wzór chemiczny wodyy to H2O.</s>
Jaka jest temperatura wrzenia wody na poziomie morza?,1,1,1,Temperatura wrzenia wody przy normalnym ciśnieniu atmosferycznym (101 325 Pa) wynosi 100 °C.,Jaka jest temperatura wrzenia wody na poziomie morza?,Woda wrze przy 100 stopniach Celsjusza i 212 stopniach Fahrenheita,1-1-1,Ile wynosi temperatura wrzenia wody na wysokości morza?,Przy normalnym ciśnieniu atmosferycznym woda wrze przy 100 stopniach Celsjusza.,1-1-1,Jaka jest tempeeratura wrzenia wody na poziomie morza?,Przy normalnym ciśnieniu atmosferycznym woda wrze w 100 stopniach Celsjusza.,1-1-1,"Do jakiej temperatury trzeba podgrzać wodę, aby zaczęła wrzeć na poziomie morza?",Przy normalnym ciśnieniu atmosferycznym woda wrze w 100 stopniach Celsjusza.,1-1-1,What’s temperatura boiling pointu wody na sea level?,Przy normalnym ciśnieniu atmosferycznym woda wrze przy 100 stopniach Celsjusza.,1-1-1,,,,,"Jak przedstawia się chemiczny skład wody? <pad> W wodzie znajdują się dwie zasadowe cząsteczki, woda i dwutlenek węgla.</s>"
Jakie są trzy stany materii?,1,1,1,"Trzy podstawowe stany skupienia materii to: stały, ciekły i gazowy.",Jakie są trzy stany materii?,"Trzy stany materii to: ciecz, gaz i pył.",1-1-1,Jakie wyróżnia się trzy formy materii?,"Trzy formy materii to: stałe, płynne i gazowe.",1-1-1,Jakie są trzy stany materiii?,"Trzy stany materii to: ciecz, gaz i pył.",1-0-1,W jakich trzech stanach może występować materia?,"W trzech stanach może występować materia: ciecz, gaz i pył.",0-0-1,What are trzy states of materii?,"Trzy stany materii to: stały, płynny i gazowy.",1-1-1,,,,,What jest chemical wzór wody? <pad> Wzór chemiczny wody to H2O.</s>
"Co dzieje się z wodą, gdy robi się wystarczająco zimno?",1,1,1,"Po odpowiednim schłodzeniu woda krzepnie, tzn. zmienia stan skupienia ze stanu ciekłego na stały.","Co dzieje się z wodą, gdy robi się wystarczająco zimno?","Kiedy woda staje się wystarczająco zimna, staje się gazem.",1-0-1,"Co następuje z wodą, gdy temperatura spada poniżej zera?","Gdy temperatura spada poniżej zera, woda staje się ciecz.",0-0-1,"Co dzieje się z woda, gdy robi się wystarczająco zimmno?","Kiedy woda staje się wystarczająco zimna, staje się ciecz.",0-0-1,"Jak reaguje woda, gdy zostaje bardzo ochłodzona?",W wyniku zmiany temperatury cząsteczki wody stają się mniej gęstsze i tworzą kryształy.,0-1-1,"What happens z wodą, when robi się cold enough?","When water becomes cold enough, it becomes a gas.",1-0-0,,,,,Ile wynosi temperatura wrzenia wody na wysokości morza? <pad> Przy normalnym ciśnieniu atmosferycznym woda wrze przy 100 stopniach Celsjusza.</s>
Jaka jest najmniejsza jednostka materii?,1,1,1,Najmniejszą chemicznie niepodzielną cząstką materii jest atom.,Jaka jest najmniejsza jednostka materii?,Najmniejszą jednostką materii jest atom.,1-1-1,Co stanowi najmniejszy element materii?,Atom to najmniejszy element materii.,1-1-1,Jaka jest najmniejszaa jednostka materii?,Najmniejszą jednostką materii jest atom.,1-1-1,Co jest podstawową jednostką budowy materii?,Jest to atom.,1-1-1,What is the smallest unit of materii?,The smallest unit of matter is called a proton. A proton is the smallest unit of matter that exists. It is the fundamental unit of matter and is responsible for the formation of all matter in the universe.,1-1-0,,,,,Jaka jest tempeeratura wrzenia wody na poziomie morza? <pad> Przy normalnym ciśnieniu atmosferycznym woda wrze w 100 stopniach Celsjusza.</s>
"Jaki gaz wdychamy, aby przeżyć?",1,1,1,"Wdychamy tlen (O₂), który jest niezbędny do życia.","Jakim gazem wdychamy, aby przeżyć?","Wdychamy tlen, który jest niezbędny do życia.",1-1-1,Który gaz jest nam niezbędny do oddychania?,tlen,1-1-1,"Jakim gazem wdychamy, aby przezyźć?","Wdychamy tlen, aby przetrwać.",1-1-1,"Jaki gaz musimy wdychać, żeby żyć?",Wdychamy tlen.,1-1-1,Jakim gasem we inhale to survive?,"Gas, ki ga dihamo, je kisik.",1-1-0,,,,,"Do jakiej temperatury trzeba podgrzać wodę, aby zaczęła wrzeć na poziomie morza? <pad> Przy normalnym ciśnieniu atmosferycznym woda wrze w 100 stopniach Celsjusza.</s>"
W jakim procesie ciecz zamienia się w gaz poniżej temperatury wrzenia?,1,1,1,Proces ten nazywa się parowaniem.,W jakim procesie ciecz zamienia się w gaz poniżej temperatury wrzenia?,Sublimacja,0-0-1,W którym zjawisku ciecz staje się gazem bez osiągania temperatury wrzenia?,W stanie ciekłym.,1-0-1,W jakim procesie ciecz zamienia się w gaz ponizej temperatury wrzeniaa?,Sublimacja,0-0-1,"Jak nazywa się proces zmiany cieczy w gaz, zanim zacznie wrzeć?",Sublimacja,0-1-1,In what proces ciecz turns into gas below boiling point?,Sublimacja,0-1-1,,,,,What’s temperatura boiling pointu wody na sea level? <pad> Przy normalnym ciśnieniu atmosferycznym woda wrze przy 100 stopniach Celsjusza.</s>
Jak nazywają się cząstki tworzące jądro atomu?,1,1,1,Jądro atomu składa się z protonów i neutronów.,Jak nazywają się cząstki tworzące jądro atomu?,"Próbki cząstek tworzących jądro atomu nazywane są nukleonami. Nukleony to małe cząstki składowe atomu, które tworzą jego jądro. Nukleony składają się z dwóch lub więcej cząstek o określonej masie, które są połączone siłą grawitacji. Nukleony są odpowiedzialne za wiązanie się cząstek w jądrze atomu i tworzą jądro atomu. Nukleony są również odpowiedzialne za",1-1-1,Jak określamy elementy składające się na jądro atomowe?,"Jest to skomplikowana i złożona struktura, która obejmuje wiele elementów. W jądrze atomowym znajdują się wszystkie atomy, które tworzą wszystkie cząsteczki w ciele. Wszystkie atomy składają się z cząsteczek, które są połączone ze sobą i tworzą jądro atomowe. Wszystkie atomy składają się z cząsteczek, które są połączone ze sobą i tworzą jądro atomowe. Wszystkie atom",0-0-1,Jak nazywają się cząstkii tworzące jądro atomu?,"Próbki cząstek tworzących jądro atomu określa się jako nukleony. Nukleony to cząstki składowe jądra atomowego, które tworzą podstawę i rdzeń atomu. Nukleony składają się z dwóch lub więcej cząstek elementarnych, które są połączone siłą grawitacji. Nukleony są odpowiedzialne za wiązanie się cząstek w jądrze atomu i tworzą podstawę i rdzeń atomu. Nukleony są również",1-1-1,Które cząstki wchodzą w skład jądra atomowego?,- Neutrony. - Promienie alfa. - Neutrony alfa. - Neutrony beta.,1-0-1,What are the particles tworzące atomic jądro?,Protony i neutrony.,1-1-1,,,,,"Jakie wyróżnia się trzy formy materii? <pad> Trzy formy materii to: stałe, płynne i gazowe.</s>"
Jak nazywa się przemiana cieczy w ciało stałe?,1,1,1,Proces ten nazywa się krzepnięciem.,Jak nazywa się przemiana cieczy w ciało stałe?,Sublimacja,1-0-1,Jak określa się proces zmiany cieczy w substancję stałą?,Sublimacja,1-0-1,Jak nazywa się przemiana cieczy w ciałoo stałe?,Sublimacja,1-0-1,"Co to za proces, gdy ciecz staje się ciałem stałym?",Sublimacja,1-0-1,What’s the name of proces zamiany cieczy w solid?,Sublimacja,1-0-1,,,,,"Jakie są trzy stany materiii? <pad> Trzy stany materii to: ciecz, gaz i pył.</s>"
Jaki jest wzór chemiczny tlenu?,1,1,1,Wzór chemiczny tlenu cząsteczkowego to O₂.,Jaki jest wzór chemiczny tlenu?,Wzór chemiczny tlenu to H.,1-0-1,Jak wygląda chemiczna formuła tlenu?,Tlen jest wyrażony za pomocą formuły H2O.,1-0-1,Jaki jest wzór chemicznny tlenu?,Wzór chemiczny tlenu to H.,1-0-1,W jaki sposób zapisuje się skład chemiczny tlenu?,W języku angielskim skład chemiczny tlenu zapisuje się za pomocą symbolu H.,1-0-1,What is the chemical wzór of tlenu?,The chemical wzór of tlenu is H.,0-0-0,,,,,"W jakich trzech stanach może występować materia? <pad> W trzech stanach może występować materia: ciecz, gaz i pył.</s>"
